"id","time","topic","type","indicator","value","frequency","unit"
"BE10","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","min","2.93","monthly","mm"
"BE10","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","max","2.93","monthly","mm"
"BE10","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.93","monthly","mm"
"BE21","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","min","2.93","monthly","mm"
"BE21","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","max","3.43","monthly","mm"
"BE21","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","mean","3.20","monthly","mm"
"BE22","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","min","2.84","monthly","mm"
"BE22","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","max","3.43","monthly","mm"
"BE22","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","mean","3.01","monthly","mm"
"BE23","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","min","3.07","monthly","mm"
"BE23","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","max","3.51","monthly","mm"
"BE23","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","mean","3.31","monthly","mm"
"BE33","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","min","3.06","monthly","mm"
"BE33","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","max","4.28","monthly","mm"
"BE33","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","mean","3.70","monthly","mm"
"BE34","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","min","3.39","monthly","mm"
"BE34","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","max","4.10","monthly","mm"
"BE34","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","mean","3.84","monthly","mm"
"BE35","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","min","2.99","monthly","mm"
"BE35","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","max","3.73","monthly","mm"
"BE35","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","mean","3.28","monthly","mm"
"BE25","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","min","3.23","monthly","mm"
"BE25","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","max","4.20","monthly","mm"
"BE25","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","mean","3.55","monthly","mm"
"BE31","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","min","2.89","monthly","mm"
"BE31","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","max","3.11","monthly","mm"
"BE31","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.97","monthly","mm"
"BE24","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","min","2.89","monthly","mm"
"BE24","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","max","3.17","monthly","mm"
"BE24","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.96","monthly","mm"
"BE32","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","min","3.04","monthly","mm"
"BE32","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","max","3.39","monthly","mm"
"BE32","2015-01-01","ERA5 Precipitation Monthy 10km","numerical","mean","3.28","monthly","mm"
"BE10","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","min","2.09","monthly","mm"
"BE10","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","max","2.09","monthly","mm"
"BE10","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.09","monthly","mm"
"BE21","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","min","1.99","monthly","mm"
"BE21","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","max","2.04","monthly","mm"
"BE21","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.02","monthly","mm"
"BE22","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","min","1.88","monthly","mm"
"BE22","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","max","2.05","monthly","mm"
"BE22","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.98","monthly","mm"
"BE23","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","min","1.99","monthly","mm"
"BE23","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","max","2.12","monthly","mm"
"BE23","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.05","monthly","mm"
"BE33","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","min","1.96","monthly","mm"
"BE33","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","max","2.35","monthly","mm"
"BE33","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.19","monthly","mm"
"BE34","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","min","2.06","monthly","mm"
"BE34","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","max","2.64","monthly","mm"
"BE34","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.36","monthly","mm"
"BE35","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","min","2.17","monthly","mm"
"BE35","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","max","2.66","monthly","mm"
"BE35","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.37","monthly","mm"
"BE25","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","min","2.08","monthly","mm"
"BE25","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","max","2.50","monthly","mm"
"BE25","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.16","monthly","mm"
"BE31","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","min","2.06","monthly","mm"
"BE31","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","max","2.21","monthly","mm"
"BE31","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.14","monthly","mm"
"BE24","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","min","2.01","monthly","mm"
"BE24","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","max","2.16","monthly","mm"
"BE24","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.07","monthly","mm"
"BE32","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","min","2.11","monthly","mm"
"BE32","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","max","2.62","monthly","mm"
"BE32","2015-02-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.29","monthly","mm"
"BE10","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","min","1.88","monthly","mm"
"BE10","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","max","1.88","monthly","mm"
"BE10","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.88","monthly","mm"
"BE21","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","min","1.84","monthly","mm"
"BE21","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","max","2.41","monthly","mm"
"BE21","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.13","monthly","mm"
"BE22","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","min","2.32","monthly","mm"
"BE22","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","max","2.60","monthly","mm"
"BE22","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.50","monthly","mm"
"BE23","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","min","1.59","monthly","mm"
"BE23","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","max","1.89","monthly","mm"
"BE23","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.69","monthly","mm"
"BE33","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","min","2.35","monthly","mm"
"BE33","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","max","3.23","monthly","mm"
"BE33","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.76","monthly","mm"
"BE34","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","min","1.95","monthly","mm"
"BE34","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","max","3.01","monthly","mm"
"BE34","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.39","monthly","mm"
"BE35","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","min","2.12","monthly","mm"
"BE35","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","max","2.48","monthly","mm"
"BE35","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.24","monthly","mm"
"BE25","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","min","1.18","monthly","mm"
"BE25","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","max","1.64","monthly","mm"
"BE25","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.41","monthly","mm"
"BE31","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","min","1.84","monthly","mm"
"BE31","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","max","2.23","monthly","mm"
"BE31","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.01","monthly","mm"
"BE24","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","min","1.76","monthly","mm"
"BE24","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","max","2.41","monthly","mm"
"BE24","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.03","monthly","mm"
"BE32","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","min","1.37","monthly","mm"
"BE32","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","max","2.12","monthly","mm"
"BE32","2015-03-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.80","monthly","mm"
"BE10","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","min","1.27","monthly","mm"
"BE10","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","max","1.27","monthly","mm"
"BE10","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.27","monthly","mm"
"BE21","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","min","0.84","monthly","mm"
"BE21","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","max","1.31","monthly","mm"
"BE21","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.07","monthly","mm"
"BE22","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","min","1.26","monthly","mm"
"BE22","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","max","1.53","monthly","mm"
"BE22","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.43","monthly","mm"
"BE23","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","min","0.73","monthly","mm"
"BE23","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","max","1.12","monthly","mm"
"BE23","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","mean","0.93","monthly","mm"
"BE33","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","min","1.51","monthly","mm"
"BE33","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","max","2.36","monthly","mm"
"BE33","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.88","monthly","mm"
"BE34","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","min","1.91","monthly","mm"
"BE34","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","max","2.39","monthly","mm"
"BE34","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.25","monthly","mm"
"BE35","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","min","1.50","monthly","mm"
"BE35","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","max","2.36","monthly","mm"
"BE35","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.84","monthly","mm"
"BE25","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","min","0.63","monthly","mm"
"BE25","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","max","1.03","monthly","mm"
"BE25","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","mean","0.80","monthly","mm"
"BE31","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","min","1.27","monthly","mm"
"BE31","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","max","1.50","monthly","mm"
"BE31","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.40","monthly","mm"
"BE24","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","min","1.06","monthly","mm"
"BE24","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","max","1.47","monthly","mm"
"BE24","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.29","monthly","mm"
"BE32","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","min","0.98","monthly","mm"
"BE32","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","max","1.78","monthly","mm"
"BE32","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.31","monthly","mm"
"BE10","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","min","2.18","monthly","mm"
"BE10","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","max","2.18","monthly","mm"
"BE10","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.18","monthly","mm"
"BE21","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","min","1.80","monthly","mm"
"BE21","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","max","2.09","monthly","mm"
"BE21","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.94","monthly","mm"
"BE22","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","min","1.60","monthly","mm"
"BE22","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","max","1.99","monthly","mm"
"BE22","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.78","monthly","mm"
"BE23","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","min","2.00","monthly","mm"
"BE23","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","max","2.11","monthly","mm"
"BE23","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.06","monthly","mm"
"BE33","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","min","1.56","monthly","mm"
"BE33","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","max","2.09","monthly","mm"
"BE33","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.73","monthly","mm"
"BE34","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","min","1.62","monthly","mm"
"BE34","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","max","2.16","monthly","mm"
"BE34","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.87","monthly","mm"
"BE35","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","min","1.65","monthly","mm"
"BE35","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","max","2.24","monthly","mm"
"BE35","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.95","monthly","mm"
"BE25","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","min","1.83","monthly","mm"
"BE25","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","max","2.44","monthly","mm"
"BE25","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.06","monthly","mm"
"BE31","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","min","2.17","monthly","mm"
"BE31","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","max","2.23","monthly","mm"
"BE31","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.20","monthly","mm"
"BE24","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","min","1.83","monthly","mm"
"BE24","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","max","2.21","monthly","mm"
"BE24","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.09","monthly","mm"
"BE32","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","min","2.02","monthly","mm"
"BE32","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","max","2.32","monthly","mm"
"BE32","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.13","monthly","mm"
"BE10","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","min","1.37","monthly","mm"
"BE10","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","max","1.37","monthly","mm"
"BE10","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.37","monthly","mm"
"BE21","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","min","1.37","monthly","mm"
"BE21","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","max","1.63","monthly","mm"
"BE21","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.50","monthly","mm"
"BE22","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","min","1.34","monthly","mm"
"BE22","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","max","1.49","monthly","mm"
"BE22","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.42","monthly","mm"
"BE23","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","min","0.90","monthly","mm"
"BE23","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","max","1.46","monthly","mm"
"BE23","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.14","monthly","mm"
"BE33","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","min","1.38","monthly","mm"
"BE33","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","max","2.09","monthly","mm"
"BE33","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.68","monthly","mm"
"BE34","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","min","1.16","monthly","mm"
"BE34","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","max","1.77","monthly","mm"
"BE34","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.46","monthly","mm"
"BE35","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","min","1.23","monthly","mm"
"BE35","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","max","1.59","monthly","mm"
"BE35","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.40","monthly","mm"
"BE25","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","min","0.95","monthly","mm"
"BE25","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","max","1.22","monthly","mm"
"BE25","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.08","monthly","mm"
"BE31","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","min","1.14","monthly","mm"
"BE31","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","max","1.46","monthly","mm"
"BE31","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.33","monthly","mm"
"BE24","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","min","1.14","monthly","mm"
"BE24","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","max","1.59","monthly","mm"
"BE24","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.40","monthly","mm"
"BE32","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","min","1.01","monthly","mm"
"BE32","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","max","1.27","monthly","mm"
